codigo_ibge,municipio,uf
2700102,Água Branca,AL
2700201,Anadia,AL
2700300,Arapiraca,AL
2700409,Atalaia,AL
2700508,Barra de Santo Antônio,AL
2700607,Barra de São Miguel,AL
2700706,Batalha,AL
2700805,Belém,AL
2700904,Belo Monte,AL
2701001,Boca da Mata,AL
2701100,Branquinha,AL
2701209,Cacimbinhas,AL
2701308,Cajueiro,AL
2701357,Campestre,AL
2701407,Campo Alegre,AL
2701506,Campo Grande,AL
2701605,Canapi,AL
2701704,Capela,AL
2701803,Carneiros,AL
2701902,Chã Preta,AL
2702009,Coité do Nóia,AL
2702108,Colônia Leopoldina,AL
2702207,Coqueiro Seco,AL
2702306,Coruripe,AL
2702355,Craíbas,AL
2702405,Delmiro Gouveia,AL
2702504,Dois Riachos,AL
2702553,Estrela de Alagoas,AL
2702603,Feira Grande,AL
2702702,Feliz Deserto,AL
2702801,Flexeiras,AL
2702900,Girau do Ponciano,AL
2703007,Ibateguara,AL
2703106,Igaci,AL
2703205,Igreja Nova,AL
2703304,Inhapi,AL
2703403,Jacaré dos Homens,AL
2703502,Jacuípe,AL
2703601,Japaratinga,AL
2703700,Jaramataia,AL
2703759,Jequiá da Praia,AL
2703809,Joaquim Gomes,AL
2703908,Jundiá,AL
2704005,Junqueiro,AL
2704104,Lagoa da Canoa,AL
2704203,Limoeiro de Anadia,AL
2704302,Maceió,AL
2704401,Major Isidoro,AL
2704500,Maragogi,AL
2704609,Maravilha,AL
2704708,Marechal Deodoro,AL
2704807,Maribondo,AL
2704906,Mar Vermelho,AL
2705002,Mata Grande,AL
2705101,Matriz de Camaragibe,AL
2705200,Messias,AL
2705309,Minador do Negrão,AL
2705408,Monteirópolis,AL
2705507,Murici,AL
2705606,Novo Lino,AL
2705705,Olho d'Água das Flores,AL
2705804,Olho d'Água do Casado,AL
2705903,Olho d'Água Grande,AL
2706000,Olivença,AL
2706109,Ouro Branco,AL
2706208,Palestina,AL
2706307,Palmeira dos Índios,AL
2706406,Pão de Açúcar,AL
2706422,Pariconha,AL
2706448,Paripueira,AL
2706505,Passo de Camaragibe,AL
2706604,Paulo Jacinto,AL
2706703,Penedo,AL
2706802,Piaçabuçu,AL
2706901,Pilar,AL
2707008,Pindoba,AL
2707107,Piranhas,AL
2707206,Poço das Trincheiras,AL
2707305,Porto Calvo,AL
2707404,Porto de Pedras,AL
2707503,Porto Real do Colégio,AL
2707602,Quebrangulo,AL
2707701,Rio Largo,AL
2707800,Roteiro,AL
2707909,Santa Luzia do Norte,AL
2708006,Santana do Ipanema,AL
2708105,Santana do Mundaú,AL
2708204,São Brás,AL
2708303,São José da Laje,AL
2708402,São José da Tapera,AL
2708501,São Luís do Quitunde,AL
2708600,São Miguel dos Campos,AL
2708709,São Miguel dos Milagres,AL
2708808,São Sebastião,AL
2708907,Satuba,AL
2708956,Senador Rui Palmeira,AL
2709004,Tanque d'Arca,AL
2709103,Taquarana,AL
2709152,Teotônio Vilela,AL
2709202,Traipu,AL
2709301,União dos Palmares,AL
2709400,Viçosa,AL
